,Price
2018-01-01,7398999.999999999
2018-01-02,7700000.0
2018-01-03,7500000.0
2018-01-04,4000000.0
2018-01-05,4850000.0
2018-01-06,5500000.0
2018-01-07,2400000.0
2018-01-08,4860000.0
2018-01-09,3800000.0
2018-01-10,1600000.0
2018-01-11,6500000.0
2018-01-12,1650000.0
2018-01-13,9015000.0
2018-01-14,5200000.0
2018-01-15,4200000.0
2018-01-16,3800000.0
2018-01-17,1400000.0
2018-01-18,6000000.0
2018-01-19,9500000.0
2018-01-20,6800000.0
2018-01-21,7000000.0
2018-01-22,5800000.0
2018-01-23,9200000.0
2018-01-24,2000000.0
2018-01-25,1450000.0
2018-01-26,1380000.0
2018-01-27,5500000.0
2018-01-28,4500000.0
2018-01-29,4000000.0
2018-01-30,2700000.0
2018-01-31,3250000.0
2018-02-01,7000000.0
2018-02-02,6000000.0
2018-02-03,1060000.0
2018-02-04,2250000.0
2018-02-05,6800000.0
2018-02-06,5100000.0
2018-02-07,12800000.0
2018-02-08,6000000.0
2018-02-09,5500000.0
2018-02-10,5000000.0
2018-02-11,3700000.0
2018-02-12,4200000.0
2018-02-13,5200000.0
2018-02-14,1390000.0
2018-02-15,1150000.0
2018-02-16,9000000.0
2018-02-17,3700000.0
2018-02-18,6200000.0
2018-02-19,6000000.0
2018-02-20,1300000.0
2018-02-21,3500000.0
2018-02-22,8350000.0
2018-02-23,4400000.0
2018-02-24,4500000.0
2018-02-25,1700000.0
2018-02-26,2800000.0
2018-02-27,3600000.0
2018-02-28,2750000.0
2018-03-01,8500000.0
2018-03-02,7000000.0
2018-03-03,7300000.0
2018-03-04,6800000.0
2018-03-05,5400000.0
2018-03-06,9000000.0
2018-03-07,1100000.0
2018-03-08,3700000.0
2018-03-09,9000000.0
2018-03-10,5100000.0
2018-03-11,5300000.0
2018-03-12,6950000.0
2018-03-13,4500000.0
2018-03-14,1230000.0
2018-03-15,9900000.0
2018-03-16,1200000.0
2018-03-17,3200000.0
2018-03-18,9500000.0
2018-03-19,5000000.0
2018-03-20,5000000.0
2018-03-21,5500000.0
2018-03-22,5500000.0
2018-03-23,6700000.0
2018-03-24,2850000.0
2018-03-25,3500000.0
2018-03-26,8500000.0
2018-03-27,3000000.0
2018-03-28,8500000.0
2018-03-29,6000000.0
2018-03-30,5600000.0
2018-03-31,5500000.0
2018-04-01,7000000.0
2018-04-02,1140000.0
2018-04-03,6000000.0
2018-04-04,6000000.0
2018-04-05,7500000.0
2018-04-06,5900000.0
2018-04-07,4600000.0
2018-04-08,1200000.0
2018-04-09,3700000.0
2018-04-10,7200000.0
2018-04-11,7500000.0
2018-04-12,5000000.0
2018-04-13,7400000.0
2018-04-14,5200000.0
2018-04-15,5800000.0
2018-04-16,7500000.0
2018-04-17,9000000.0
2018-04-18,5500000.0
2018-04-19,8000000.0
2018-04-20,2600000.0
2018-04-21,8500000.0
2018-04-22,2500000.0
2018-04-23,4800000.0
2018-04-24,4200000.0
2018-04-25,7200000.0
2018-04-26,6300000.0
2018-04-27,8800000.0
2018-04-28,8700000.0
2018-04-29,9800000.0
2018-04-30,10500000.0
2018-05-01,6000000.0
2018-05-02,6500000.0
2018-05-03,1000000.0
2018-05-04,2550000.0
2018-05-05,7500000.0
2018-05-06,5850000.0
2018-05-07,6800000.0
2018-05-08,7900000.0
2018-05-09,1200000.0
2018-05-10,2200000.0
2018-05-11,4700000.0
2018-05-12,4000000.0
2018-05-13,1360000.0
2018-05-14,4900000.0
2018-05-15,7400000.0
2018-05-16,9200000.0
2018-05-17,1750000.0
2018-05-18,7500000.0
2018-05-19,2300000.0
2018-05-20,6200000.0
2018-05-21,3800000.0
2018-05-22,5700000.0
2018-05-23,7500000.0
2018-05-24,7500000.0
2018-05-25,4800000.0
2018-05-26,35000000.0
2018-05-27,1800000.0
2018-05-28,9200000.0
2018-05-29,1600000.0
2018-05-30,7700000.0
2018-05-31,3750000.0
2018-06-01,3800000.0
2018-06-02,2100000.0
2018-06-03,1170000.0
2018-06-04,7000000.0
2018-06-05,3000000.0
2018-06-06,5000000.0
2018-06-07,9800000.0
2018-06-08,6200000.0
2018-06-09,1140000.0
2018-06-10,6000000.0
2018-06-11,9000000.0
2018-06-12,4800000.0
2018-06-13,7500000.0
2018-06-14,6500000.0
2018-06-15,4500000.0
2018-06-16,3500000.0
2018-06-17,7500000.0
2018-06-18,1250000.0
2018-06-19,7300000.0
2018-06-20,8000000.0
2018-06-21,3819000.0
2018-06-22,1400000.0
2018-06-23,7800000.0
2018-06-24,1800000.0
2018-06-25,1900000.0
2018-06-26,7000000.0
2018-06-27,4500000.0
2018-06-28,7250000.0
2018-06-29,4990000.0
2018-06-30,1300000.0
2018-07-01,3200000.0
2018-07-02,5500000.0
2018-07-03,5000000.0
2018-07-04,8500000.0
2018-07-05,8000000.0
2018-07-06,4900000.0
2018-07-07,3000000.0
2018-07-08,1250000.0
2018-07-09,7300000.0
2018-07-10,7000000.0
2018-07-11,3860000.0
2018-07-12,3800000.0
2018-07-13,9500000.0
2018-07-14,3000000.0
2018-07-15,7000000.0
2018-07-16,3250000.0
2018-07-17,7100000.0
2018-07-18,7500000.0
2018-07-19,6500000.0
2018-07-20,6500000.0
2018-07-21,1090000.0
2018-07-22,3000000.0
2018-07-23,7000000.0
2018-07-24,4200000.0
2018-07-25,1200000.0
2018-07-26,7700000.0
2018-07-27,9000000.0
2018-07-28,1400000.0
2018-07-29,9500000.0
2018-07-30,5100000.0
2018-07-31,4900000.0
2018-08-01,1600000.0
2018-08-02,8490000.0
2018-08-03,4900000.0
2018-08-04,5500000.0
2018-08-05,5500000.0
2018-08-06,8000000.0
2018-08-07,9000000.0
2018-08-08,4400000.0
2018-08-09,8500000.0
2018-08-10,8500000.0
2018-08-11,1650000.0
2018-08-12,5300000.0
2018-08-13,6500000.0
2018-08-14,3700000.0
2018-08-15,1140000.0
2018-08-16,5050000.0
2018-08-17,5800000.0
2018-08-18,8600000.0
2018-08-19,1400000.0
2018-08-20,4500000.0
2018-08-21,7500000.0
2018-08-22,5000000.0
2018-08-23,1300000.0
2018-08-24,4200000.0
2018-08-25,6000000.0
2018-08-26,5500000.0
2018-08-27,4300000.0
2018-08-28,7000000.0
2018-08-29,5200000.0
2018-08-30,8200000.0
2018-08-31,2580000.0
2018-09-01,5000000.0
2018-09-02,7500000.0
2018-09-03,9400000.0
2018-09-04,4500000.0
2018-09-05,6000000.0
2018-09-06,4900000.0
2018-09-07,3700000.0
2018-09-08,4000000.0
2018-09-09,5700000.0
2018-09-10,5500000.0
2018-09-11,7000000.0
2018-09-12,7800000.0
2018-09-13,3800000.0
2018-09-14,5000000.0
2018-09-15,3400000.0
2018-09-16,3700000.0
2018-09-17,9200000.0
2018-09-18,8500000.0
2018-09-19,7400000.0
2018-09-20,6700000.0
2018-09-21,8000000.0
2018-09-22,4400000.0
2018-09-23,6400000.0
2018-09-24,6100000.0
2018-09-25,4600000.0
2018-09-26,2000000.0
2018-09-27,3700000.0
2018-09-28,6500000.0
2018-09-29,1150000.0
2018-09-30,5500000.0
2018-10-01,6000000.0
2018-10-02,6000000.0
2018-10-03,8500000.0
2018-10-04,6000000.0
2018-10-05,4000000.0
2018-10-06,9800000.0
2018-10-07,8600000.0
2018-10-08,6200000.0
2018-10-09,1350000.0
2018-10-10,7500000.0
2018-10-11,5000000.0
2018-10-12,5800000.0
2018-10-13,3800000.0
2018-10-14,7000000.0
2018-10-15,3850000.0
2018-10-16,7800000.0
2018-10-17,2650000.0
2018-10-18,5800000.0
2018-10-19,6500000.0
2018-10-20,8500000.0
2018-10-21,7000000.0
2018-10-22,5000000.0
2018-10-23,4500000.0
2018-10-24,1350000.0
2018-10-25,8000000.0
2018-10-26,5634000.0
2018-10-27,4000000.0
2018-10-28,9900000.0
2018-10-29,7500000.0
2018-10-30,6500000.0
2018-10-31,3800000.0
2018-11-01,6500000.0
2018-11-02,6500000.0
2018-11-03,7000000.0
2018-11-04,8900000.0
2018-11-05,8000000.0
2018-11-06,7200000.0
2018-11-07,5612000.0
2018-11-08,5250000.0
2018-11-09,3000000.0
2018-11-10,7400000.0
2018-11-11,8500000.0
2018-11-12,2100000.0
2018-11-13,7000000.0
2018-11-14,1200000.0
2018-11-15,6400000.0
2018-11-16,1900000.0
2018-11-17,6000000.0
2018-11-18,2000000.0
2018-11-19,1350000.0
2018-11-20,7400000.0
2018-11-21,5800000.0
2018-11-22,6300000.0
2018-11-23,3500000.0
2018-11-24,5200000.0
2018-11-25,6500000.0
2018-11-26,4400000.0
2018-11-27,7500000.0
2018-11-28,3690000.0
2018-11-29,6200000.0
2018-11-30,2200000.0
2018-12-01,2800000.0
2018-12-02,7500000.0
2018-12-03,7600000.0
2018-12-04,7000000.0
2018-12-05,2300000.0
2018-12-06,2400000.0
2018-12-07,9800000.0
2018-12-08,8500000.0
2018-12-09,8811000.0
2018-12-10,4800000.0
2018-12-11,1250000.0
2018-12-12,9900000.0
2018-12-13,7800000.0
2018-12-14,8700000.0
2018-12-15,3050000.0
2018-12-16,9000000.0
2018-12-17,6300000.0
2018-12-18,8120999.999999999
2018-12-19,5800000.0
2018-12-20,2100000.0
2018-12-21,5000000.0
2018-12-22,3800000.0
2018-12-23,4000000.0
2018-12-24,3600000.0
2018-12-25,9000000.0
2018-12-26,7500000.0
2018-12-27,4900000.0
2018-12-28,2000000.0
2018-12-29,4900000.0
2018-12-30,1800000.0
2018-12-31,4450000.0
2019-01-01,3500000.0
2019-01-02,4900000.0
2019-01-03,6300000.0
2019-01-04,4700000.0
2019-01-05,8000000.0
2019-01-06,5200000.0
2019-01-07,6000000.0
2019-01-08,3100000.0
2019-01-09,6500000.0
2019-01-10,5000000.0
2019-01-11,7600000.0
2019-01-12,6300000.0
2019-01-13,1900000.0
2019-01-14,3200000.0
2019-01-15,6900000.0
2019-01-16,1200000.0
2019-01-17,6000000.0
2019-01-18,3100000.0
2019-01-19,4500000.0
2019-01-20,1300000.0
2019-01-21,9000000.0
2019-01-22,1200000.0
2019-01-23,4500000.0
2019-01-24,1140000.0
2019-01-25,4000000.0
2019-01-26,2400000.0
2019-01-27,6000000.0
2019-01-28,5500000.0
2019-01-29,2600000.0
2019-01-30,2100000.0
2019-01-31,6000000.0
2019-02-01,6300000.0
2019-02-02,5500000.0
2019-02-03,2700000.0
2019-02-04,2600000.0
2019-02-05,3300000.0
2019-02-06,2250000.0
2019-02-07,7700000.0
2019-02-08,4000000.0
2019-02-09,8079000.000000001
2019-02-10,1600000.0
2019-02-11,1050000.0
2019-02-12,1020000.0
2019-02-13,5800000.0
2019-02-14,5500000.0
2019-02-15,5500000.0
2019-02-16,1250000.0
2019-02-17,5800000.0
2019-02-18,4300000.0
2019-02-19,2400000.0
2019-02-20,6000000.0
2019-02-21,1100000.0
2019-02-22,7500000.0
2019-02-23,9750000.0
2019-02-24,1600000.0
2019-02-25,1100000.0
2019-02-26,5000000.0
2019-02-27,5500000.0
2019-02-28,5400000.0
2019-03-01,1700000.0
2019-03-02,5200000.0
2019-03-03,4600000.0
2019-03-04,1950000.0
2019-03-05,8000000.0
2019-03-06,7500000.0
2019-03-07,1590000.0
2019-03-08,2200000.0
2019-03-09,1200000.0
2019-03-10,6600000.0
2019-03-11,5800000.0
2019-03-12,2000000.0
2019-03-13,4000000.0
2019-03-14,7800000.0
2019-03-15,2650000.0
2019-03-16,1970000.0
2019-03-17,5100000.0
2019-03-18,5800000.0
2019-03-19,6800000.0
2019-03-20,5000000.0
2019-03-21,1320000.0
2019-03-22,7945000.0
2019-03-23,4700000.0
2019-03-24,3500000.0
2019-03-25,9500000.0
2019-03-26,3600000.0
2019-03-27,3600000.0
2019-03-28,6000000.0
2019-03-29,5000000.0
2019-03-30,1150000.0
2019-03-31,8600000.0
2019-04-01,9500000.0
2019-04-02,4500000.0
2019-04-03,3600000.0
2019-04-04,3500000.0
2019-04-05,2710000.0
2019-04-06,4000000.0
2019-04-07,5300000.0
2019-04-08,4600000.0
2019-04-09,2000000.0
2019-04-10,5700000.0
2019-04-11,5200000.0
2019-04-12,4500000.0
2019-04-13,2400000.0
2019-04-14,2500000.0
2019-04-15,6000000.0
2019-04-16,4500000.0
2019-04-17,4500000.0
2019-04-18,4500000.0
2019-04-19,6000000.0
2019-04-20,1140000.0
2019-04-21,5000000.0
2019-04-22,3700000.0
2019-04-23,8000000.0
2019-04-24,8500000.0
2019-04-25,5200000.0
2019-04-26,4500000.0
2019-04-27,3600000.0
2019-04-28,3000000.0
2019-04-29,1410000.0
2019-04-30,3500000.0
2019-05-01,6000000.0
2019-05-02,1000000.0
2019-05-03,4200000.0
2019-05-04,3800000.0
2019-05-05,4500000.0
2019-05-06,6200000.0
2019-05-07,4750000.0
2019-05-08,1400000.0
2019-05-09,8000000.0
2019-05-10,6050000.0
2019-05-11,5900000.0
2019-05-12,5100000.0
2019-05-13,2300000.0
2019-05-14,8400000.0
2019-05-15,2800000.0
2019-05-16,4800000.0
2019-05-17,2000000.0
2019-05-18,8000000.0
2019-05-19,2400000.0
2019-05-20,7700000.0
2019-05-21,5500000.0
2019-05-22,1380000.0
2019-05-23,7500000.0
2019-05-24,6500000.0
2019-05-25,6000000.0
2019-05-26,7600000.0
2019-05-27,5000000.0
2019-05-28,5200000.0
2019-05-29,4000000.0
2019-05-30,4400000.0
2019-05-31,7200000.0
2019-06-01,1200000.0
2019-06-02,9500000.0
2019-06-03,4300000.0
2019-06-04,1000000.0
2019-06-05,8499000.0
2019-06-06,6000000.0
2019-06-07,4100000.0
2019-06-08,1630000.0
2019-06-09,1600000.0
2019-06-10,8800000.0
2019-06-11,4800000.0
2019-06-12,6500000.0
2019-06-13,8600000.0
2019-06-14,1300000.0
2019-06-15,4500000.0
2019-06-16,5500000.0
2019-06-17,7500000.0
2019-06-18,1450000.0
2019-06-19,1250000.0
2019-06-20,7000000.0
2019-06-21,1250000.0
2019-06-22,7000000.0
2019-06-23,6500000.0
2019-06-24,5500000.0
2019-06-25,8000000.0
2019-06-26,4200000.0
2019-06-27,4500000.0
2019-06-28,4000000.0
2019-06-29,1300000.0
2019-06-30,5500000.0
2019-07-01,1400000.0
2019-07-02,5900000.0
2019-07-03,1150000.0
2019-07-04,6000000.0
2019-07-05,3800000.0
2019-07-06,8500000.0
2019-07-07,2710000.0
2019-07-08,6800000.0
2019-07-09,1100000.0
2019-07-10,3800000.0
2019-07-11,3300000.0
2019-07-12,6500000.0
2019-07-13,7800000.0
2019-07-14,1850000.0
2019-07-15,9000000.0
2019-07-16,1400000.0
2019-07-17,4430000.0
2019-07-18,1200000.0
2019-07-19,7500000.0
2019-07-20,8500000.0
2019-07-21,6300000.0
2019-07-22,3500000.0
2019-07-23,7000000.0
2019-07-24,4300000.0
2019-07-25,4800000.0
2019-07-26,9200000.0
2019-07-27,9500000.0
2019-07-28,4500000.0
2019-07-29,1800000.0
2019-07-30,1200000.0
2019-07-31,5500000.0
2019-08-01,8400000.0
2019-08-02,6000000.0
2019-08-03,4300000.0
2019-08-04,6300000.0
2019-08-05,3800000.0
2019-08-06,3500000.0
2019-08-07,5800000.0
2019-08-08,6200000.0
2019-08-09,5500000.0
2019-08-10,8500000.0
2019-08-11,4500000.0
2019-08-12,8200000.0
2019-08-13,6000000.0
2019-08-14,6700000.0
2019-08-15,4300000.0
2019-08-16,9000000.0
2019-08-17,3200000.0
2019-08-18,7200000.0
2019-08-19,6100000.0
2019-08-20,7900000.0
2019-08-21,8700000.0
2019-08-22,6600000.0
2019-08-23,9400000.0
2019-08-24,8300000.0
2019-08-25,7000000.0
2019-08-26,4500000.0
2019-08-27,5800000.0
2019-08-28,6000000.0
2019-08-29,5000000.0
2019-08-30,4800000.0
2019-08-31,4875000.0
2019-09-01,4400000.0
2019-09-02,5360000.0
2019-09-03,4500000.0
2019-09-04,7500000.0
2019-09-05,1250000.0
2019-09-06,5000000.0
2019-09-07,8500000.0
2019-09-08,7600000.0
2019-09-09,1050000.0
2019-09-10,5500000.0
2019-09-11,3400000.0
2019-09-12,4700000.0
2019-09-13,3000000.0
2019-09-14,1000000.0
2019-09-15,8500000.0
2019-09-16,8000000.0
2019-09-17,9600000.0
2019-09-18,3500000.0
2019-09-19,7400000.0
2019-09-20,3800000.0
2019-09-21,6000000.0
2019-09-22,6500000.0
2019-09-23,4900000.0
2019-09-24,7700000.0
2019-09-25,8850000.0
2019-09-26,2220000.0
