,Price
2023-01-01,2600000.0
2023-01-02,9500000.0
2023-01-03,2600000.0
2023-01-04,1100000.0
2023-01-05,1800000.0
2023-01-06,3000000.0
2023-01-07,3700000.0
2023-01-08,2500000.0
2023-01-09,6000000.0
2023-01-10,7200000.0
2023-01-11,1100000.0
2023-01-12,8000000.0
2023-01-13,5500000.0
2023-01-14,1850000.0
2023-01-15,5299000.0
2023-01-16,5200000.0
2023-01-17,3000000.0
2023-01-18,3400000.0
2023-01-19,6200000.0
2023-01-20,2050000.0
2023-01-21,4200000.0
2023-01-22,2900000.0
2023-01-23,3200000.0
2023-01-24,4200000.0
2023-01-25,4200000.0
2023-01-26,5000000.0
2023-01-27,9000000.0
2023-01-28,1000000.0
2023-01-29,4500000.0
2023-01-30,2000000.0
2023-01-31,9900000.0
2023-02-01,4500000.0
2023-02-02,2800000.0
2023-02-03,7000000.0
2023-02-04,7700000.0
2023-02-05,3800000.0
2023-02-06,6500000.0
2023-02-07,2500000.0
2023-02-08,2200000.0
2023-02-09,4570000.0
2023-02-10,5500000.0
2023-02-11,1150000.0
2023-02-12,5800000.0
2023-02-13,2686000.0
2023-02-14,4500000.0
2023-02-15,3600000.0
2023-02-16,5500000.0
2023-02-17,5800000.0
2023-02-18,1000000.0
2023-02-19,6000000.0
2023-02-20,1400000.0
2023-02-21,3200000.0
2023-02-22,4600000.0
2023-02-23,6600000.0
2023-02-24,1600000.0
2023-02-25,4900000.0
2023-02-26,6773999.999999999
2023-02-27,4000000.0
2023-02-28,4500000.0
2023-03-01,1750000.0
2023-03-02,4800000.0
2023-03-03,5500000.0
2023-03-04,7000000.0
2023-03-05,7200000.0
2023-03-06,4500000.0
2023-03-07,3300000.0
2023-03-08,8000000.0
2023-03-09,3200000.0
2023-03-10,4500000.0
2023-03-11,6800000.0
2023-03-12,7200000.0
2023-03-13,5900000.0
2023-03-14,2600000.0
2023-03-15,5200000.0
2023-03-16,1900000.0
2023-03-17,2800000.0
2023-03-18,3200000.0
2023-03-19,5500000.0
2023-03-20,7500000.0
2023-03-21,8900000.0
2023-03-22,6500000.0
2023-03-23,5600000.0
2023-03-24,2600000.0
2023-03-25,2950000.0
2023-03-26,2800000.0
2023-03-27,7300000.0
2023-03-28,5500000.0
2023-03-29,6800000.0
2023-03-30,4000000.0
2023-03-31,4875000.0
2023-04-01,2700000.0
2023-04-02,1250000.0
2023-04-03,8000000.0
2023-04-04,3000000.0
2023-04-05,6500000.0
2023-04-06,2250000.0
2023-04-07,5500000.0
2023-04-08,9000000.0
2023-04-09,2900000.0
2023-04-10,6000000.0
2023-04-11,5000000.0
2023-04-12,3100000.0
2023-04-13,2300000.0
2023-04-14,1500000.0
2023-04-15,3000000.0
2023-04-16,4200000.0
2023-04-17,5700000.0
2023-04-18,3779999.9999999995
2023-04-19,3000000.0
2023-04-20,4500000.0
2023-04-21,5300000.0
2023-04-22,2100000.0
2023-04-23,4700000.0
2023-04-24,3700000.0
2023-04-25,7800000.0
2023-04-26,5900000.0
2023-04-27,4100000.0
2023-04-28,7719000.0
2023-04-29,4800000.0
2023-04-30,2850000.0
2023-05-01,3200000.0
2023-05-02,2300000.0
2023-05-03,4000000.0
2023-05-04,1990000.0
2023-05-05,1800000.0
2023-05-06,2500000.0
2023-05-07,2000000.0
2023-05-08,4200000.0
2023-05-09,1800000.0
2023-05-10,5950000.0
2023-05-11,1200000.0
2023-05-12,1000000.0
2023-05-13,4500000.0
2023-05-14,7300000.0
2023-05-15,4500000.0
2023-05-16,5600000.0
2023-05-17,5800000.0
2023-05-18,2050000.0
2023-05-19,4000000.0
2023-05-20,4500000.0
2023-05-21,1000000.0
2023-05-22,2440000.0
2023-05-23,6000000.0
2023-05-24,6500000.0
2023-05-25,5000000.0
2023-05-26,1900000.0
2023-05-27,8800000.0
2023-05-28,3800000.0
2023-05-29,7000000.0
2023-05-30,7200000.0
2023-05-31,3200000.0
2023-06-01,7000000.0
2023-06-02,3000000.0
2023-06-03,8500000.0
2023-06-04,4400000.0
2023-06-05,3000000.0
2023-06-06,5500000.0
2023-06-07,6500000.0
